State,Month,Positive,Negative
AK,Jan,0,0
AK,Feb,0,0
AK,Mar,715,25125
AK,Apr,8273,294894
AK,May,12205,1056679
AK,Jun,20384,2367798
AK,Jul,63806,5055287
AK,Aug,155260,9146451
AK,Sep,195892,10804348
AL,Jan,0,0
AL,Feb,0,0
AL,Mar,5640,36150
AL,Apr,122902,1030397
AL,May,367602,4328674
AL,Jun,799987,8452439
AL,Jul,1918336,15167614
AL,Aug,3353210,22782688
AL,Sep,3766060,24117231
AR,Jan,0,0
AR,Feb,0,0
AR,Mar,3759,26305
AR,Apr,52392,668405
AR,May,149014,2487946
AR,Jun,398698,5976213
AR,Jul,967828,11656682
AR,Aug,1632521,17392351
AR,Sep,1923929,20600650
AS,Jan,0,0
AS,Feb,0,0
AS,Mar,0,3
AS,Apr,0,90
AS,May,0,3454
AS,Jun,0,8352
AS,Jul,0,27992
AS,Aug,0,44766
AS,Sep,0,42018
AZ,Jan,0,0
AZ,Feb,0,0
AZ,Mar,7133,64910
AZ,Apr,128654,1273359
AZ,May,417109,4062774
AZ,Jun,1292258,9639534
AZ,Jul,4103043,18919434
AZ,Aug,5950198,27617174
AZ,Sep,5665509,30015363
CA,Jan,0,0
CA,Feb,0,0
CA,Mar,45262,234096
CA,Apr,807446,7677813
CA,May,2410359,35849088
CA,Jun,4765016,84388722
CA,Jul,11166252,173358760
CA,Aug,18894736,282077851
CA,Sep,20433676,326637209
CO,Jan,0,0
CO,Feb,0,0
CO,Mar,16011,97727
CO,Apr,252684,977061
CO,May,651171,3145249
CO,Jun,880530,6685624
CO,Jul,1199607,11840393
CO,Aug,1626720,17648937
CO,Sep,1674778,19636200
CT,Jan,0,0
CT,Feb,0,0
CT,Mar,14086,75802
CT,Apr,464322,1098414
CT,May,1122984,4072840
CT,Jun,1348657,9542905
CT,Jul,1483675,17932389
CT,Aug,1585462,28427669
CT,Sep,1479298,35308308
DC,Jan,0,0
DC,Feb,0,0
DC,Mar,2889,20584
DC,Apr,70950,293640
DC,May,214962,878864
DC,Jun,291828,1789711
DC,Jul,345436,4004584
DC,Aug,407849,7076650
DC,Sep,395411,8644931
DE,Jan,0,0
DE,Feb,0,0
DE,Mar,1835,6620
DE,Apr,66518,326141
DE,May,229414,1016432
DE,Jun,312601,2224983
DE,Jul,410093,4139079
DE,Aug,503440,6008310
DE,Sep,510509,6567181
FL,Jan,0,0
FL,Feb,0,0
FL,Mar,32635,292184
FL,Apr,661546,6037170
FL,May,1395338,19806395
FL,Jun,2637866,40925751
FL,Jul,9746886,77199955
FL,Aug,17470128,112470532
FL,Sep,17996090,115764566
GA,Jan,0,0
GA,Feb,0,0
GA,Mar,20912,80515
GA,Apr,462304,1711240
GA,May,1153301,9124800
GA,Jun,1822291,17354742
GA,Jul,4114633,32822199
GA,Aug,7260641,54582697
GA,Sep,7975664,62975617
GU,Jan,0,0
GU,Feb,0,0
GU,Mar,516,3023
GU,Apr,3799,27473
GU,May,4896,137538
GU,Jun,6103,273067
GU,Jul,9833,544205
GU,Aug,21207,878075
GU,Sep,52183,1132309
HI,Jan,0,0
HI,Feb,0,0
