State,Month,Positive,Negative,id
AK,Jan,0,0,2
AK,Feb,0,0,2
AK,Mar,119,3594,2
AK,Apr,355,18764,2
AK,May,434,51261,2
AK,Jun,940,111245,2
AK,Jul,3677,229429,2
AK,Aug,6125,342505,2
AK,Sep,8431,434554,2
AL,Jan,0,0,1
AL,Feb,0,0,1
AL,Mar,981,6298,1
AL,Apr,7019,80177,1
AL,May,17903,199650,1
AL,Jun,38045,368607,1
AL,Jul,87723,601744,1
AL,Aug,126058,859229,1
AL,Sep,152321,975685,1
AR,Jan,0,0,5
AR,Feb,0,0,5
AR,Mar,523,5959,5
AR,Apr,3255,45124,5
AR,May,7253,122262,5
AR,Jun,20777,290426,5
AR,Jul,42511,460958,5
AR,Aug,61224,665811,5
AR,Sep,81242,861892,5
AS,Jan,0,0,60
AS,Feb,0,0,60
AS,Mar,0,3,60
AS,Apr,0,3,60
AS,May,0,174,60
AS,Jun,0,696,60
AS,Jul,0,1037,60
AS,Aug,0,1514,60
AS,Sep,0,1571,60
AZ,Jan,0,0,4
AZ,Feb,0,0,4
AZ,Mar,1289,18082,4
AZ,Apr,7648,64138,4
AZ,May,19936,205270,4
AZ,Jun,79215,453141,4
AZ,Jul,174010,759733,4
AZ,Aug,201835,1002594,4
AZ,Sep,217237,1230608,4
CA,Jan,0,0,6
CA,Feb,0,0,6
CA,Mar,7482,21772,6
CA,Apr,48917,576420,6
CA,May,110583,1834265,6
CA,Jun,228732,3938407,6
CA,Jul,493588,7317453,6
CA,Aug,704085,10669220,6
CA,Sep,802308,13531190,6
CO,Jan,0,0,8
CO,Feb,0,0,8
CO,Mar,2627,12737,8
CO,Apr,14758,56301,8
CO,May,26098,154529,8
CO,Jun,32511,291346,8
CO,Jul,46204,480142,8
CO,Aug,57223,652673,8
CO,Sep,68510,814332,8
CT,Jan,0,0,9
CT,Feb,0,0,9
CT,Mar,3128,13029,9
CT,Apr,27700,69433,9
CT,May,42201,207845,9
CT,Jun,46514,431844,9
CT,Jul,49810,744186,9
CT,Aug,52879,1120217,9
CT,Sep,56587,1462564,9
DC,Jan,0,0,11
DC,Feb,0,0,11
DC,Mar,495,3262,11
DC,Apr,4323,15756,11
DC,May,8801,37682,11
DC,Jun,10327,86968,11
DC,Jul,12126,176615,11
DC,Aug,13992,276690,11
DC,Sep,15250,365909,11
DE,Jan,0,0,10
DE,Feb,0,0,10
DE,Mar,319,3696,10
DE,Apr,4734,17086,10
DE,May,9498,51173,10
DE,Jun,11474,99407,10
DE,Jul,14788,166259,10
DE,Aug,17429,219420,10
DE,Sep,20260,261764,10
FL,Jan,0,0,12
FL,Feb,0,0,12
FL,Mar,6338,54285,12
FL,Apr,33690,348715,12
FL,May,56163,965186,12
FL,Jun,152434,1792561,12
FL,Jul,470386,3157702,12
FL,Aug,623471,3992068,12
FL,Sep,700564,4552877,12
GA,Jan,0,0,13
GA,Feb,0,0,13
GA,Mar,3929,12252,13
GA,Apr,26155,122889,13
GA,May,46986,418539,13
GA,Jun,81291,752587,13
GA,Jul,186352,1388335,13
GA,Aug,270471,2073163,13
GA,Sep,314685,2571584,13
GU,Jan,0,0,
